TO3000758	[rxn08676]
TO3001727	[rxn18595]
TO3000759	[rxn05195]
TR0000099	[rxn08234]
TR0001066	[rxn28580]
TO3000756	[rxn05163]
TR0001187	[rxn09661]
TR0001186	[rxn29474]
TO3001724	[rxn18646]
TO3001729	[rxn18593]
TO3001728	[rxn18596]
TR1000085	[rxn05495]
TR1000087	[rxn34534]
TR0020927	[rxn29477]
TR2900121	[rxn29232]
TO3001681	[rxn18650]
TR2900124	[rxn29095]
TR2900123	[rxn34080]
TR2900122	[rxn34211]
TR0003198	[rxn08908]
TI3000101	[rxn08787]
TR1002197	[rxn34420]
TR2900127	[rxn08152]
TR2900005	[rxn08153]
TO3001790	[rxn18594]
TR0020992	[rxn29384]
TO3000341	[rxn05180]
TR1900027	[rxn29068]
TO3000342	[rxn08259]
TR0008991	[rxn29379]
TR1900020	[rxn29048]
TO3001799	[rxn18607]
TI3001666	[rxn29101]
TR0005249	[rxn32296]
TO3000338	[rxn05181]
TR1900028	[rxn09049]
TR2000098	[rxn43355]
TR0003173	[rxn30471]
TO3000333	[rxn18585]
TO3000336	[rxn05159]
TO3000699	[rxn05150]
TO3001787	[rxn18661]
TO3001786	[rxn18610]
TI3000006	[rxn08715]
TI3000248	[rxn18897]
TO3000329	[rxn29779]
TO3001779	[rxn18598]
TR0000900	[rxn29903]
TR0015390	[rxn08036]
TR0020972	[rxn29383]
TI3000236	[rxn18746]
TO3001771	[rxn18588]
TO3001778	[rxn18608]
TO3000326	[rxn18401]
TO3001535	[rxn18589]
TO3001768	[rxn18624]
TR0016352	[rxn29446]
TR0016592	[rxn29367]
